	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32
d2_0	0	0.0307479	0.00819413	0.00440779	0.00331897	0.0025153	0.00202778	0.001778	0.00145405	0.00137494	0.00123695	0.00108424	0.00102752	0.00091977	0.000789364	0.000749431	0.000667846	0.000621274	0.00060178	0.000535538	0.000504741	0.000457257	0.000424855	0.00044061	0.000389233	0.000340144	0.000338611	0.00028891	0.000262523	0.000205133	0.000153011	6.86149e-05	2.99127e-05
d2_1	0.202835	0.0202357	0.00736756	0.0040523	0.00290784	0.00225517	0.00203012	0.00170974	0.00145014	0.00132658	0.0011668	0.00112663	0.000994792	0.000840222	0.000928446	0.000774119	0.000746557	0.000735098	0.000646926	0.000580336	0.000589789	0.000514276	0.00052624	0.00045234	0.000464626	0.000417275	0.000411205	0.000334903	0.000313378	0.000259603	0.000190743	0.000133846	4.06729e-05
d2_2	0.0759973	0.0156495	0.0065715	0.00395578	0.00283337	0.00215131	0.00176863	0.00157191	0.00136307	0.00132638	0.00115854	0.00104335	0.000976299	0.000900413	0.000832701	0.000777545	0.000727259	0.000731356	0.000625558	0.000625199	0.00058173	0.00049918	0.000562075	0.000470317	0.000513551	0.000442337	0.000476122	0.00043879	0.000404624	0.000355022	0.000267223	0.000161789	6.39921e-05
d2_3	0.038452	0.0123983	0.00569402	0.0035264	0.00253545	0.00195337	0.00172571	0.0015704	0.00141262	0.00121068	0.00110966	0.00100712	0.000909502	0.000925904	0.000754399	0.000866574	0.000748383	0.000755237	0.000636862	0.00069011	0.000579302	0.000582513	0.000535356	0.00053945	0.000556059	0.000458126	0.000484898	0.000446185	0.000381605	0.000399208	0.000316452	0.000205967	8.17415e-05
d2_4	0.0220143	0.00941944	0.00477625	0.00305539	0.00225434	0.0018205	0.0015195	0.00137573	0.00122612	0.00111003	0.00102195	0.00099217	0.000938453	0.000909817	0.000785601	0.000757658	0.000741601	0.000764394	0.000680865	0.000735444	0.000627677	0.000591107	0.000561197	0.000614973	0.000527076	0.000529083	0.000578066	0.000514077	0.000447698	0.000412346	0.000420717	0.000300885	0.000106352
d2_5	0.0133329	0.00700258	0.00424477	0.00262948	0.00206812	0.00163954	0.00136788	0.0012191	0.00118117	0.00106344	0.000862091	0.000892224	0.000893015	0.000885586	0.000787545	0.000768876	0.000722735	0.00067005	0.000600161	0.000630213	0.000619753	0.000587339	0.000638908	0.000603764	0.000574189	0.00054669	0.00053342	0.000552925	0.000519863	0.000480394	0.000412057	0.000290753	0.000152287
d2_6	0.00832205	0.00546604	0.00353983	0.00255672	0.00184912	0.00148282	0.00122296	0.00116993	0.00109892	0.00100176	0.000926603	0.000830541	0.000846885	0.000837707	0.000732357	0.000765485	0.000687979	0.00067029	0.000622559	0.000585725	0.000582882	0.000534695	0.000506223	0.000645508	0.000587882	0.000623604	0.000575934	0.000581406	0.000548638	0.000628335	0.000555912	0.000389586	0.000188651
d2_7	0.005454	0.00405962	0.00280097	0.00207525	0.00162197	0.00132391	0.00120511	0.00105542	0.000990516	0.000887017	0.00082001	0.000791661	0.000791123	0.000706191	0.000714192	0.000650828	0.000633985	0.000714978	0.000617163	0.000612829	0.000586779	0.0006525	0.000627787	0.000574569	0.000555906	0.000589743	0.000605371	0.000636269	0.000573785	0.000514019	0.000642978	0.00048287	0.000251984
d2_8	0.00354554	0.0031079	0.00220531	0.00174133	0.00141173	0.00117719	0.0010957	0.00095806	0.000883442	0.00080577	0.000819066	0.000773779	0.000751132	0.000709563	0.000671494	0.000652627	0.000707307	0.000663332	0.000668329	0.000590831	0.000602589	0.00065955	0.000582131	0.000659513	0.000663729	0.000577415	0.000658303	0.000617366	0.000661216	0.000707251	0.000677591	0.000573649	0.00033755
d2_9	0.00241963	0.00227492	0.00188327	0.00147736	0.00116508	0.000993175	0.000961163	0.000810288	0.000775944	0.000759213	0.000718271	0.000713668	0.000630233	0.000653323	0.000619695	0.000599012	0.00058815	0.000711848	0.00062404	0.000603593	0.00057553	0.000590428	0.000581979	0.000582311	0.000543879	0.000612197	0.000675374	0.000649652	0.000652052	0.00077399	0.000804923	0.000715955	0.000398845
