	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32
d2_10	0.00164138	0.00173561	0.00151	0.0012064	0.00101718	0.000895303	0.000812504	0.000754399	0.000769991	0.000657148	0.000647932	0.000622886	0.00066366	0.000613649	0.000581819	0.000657442	0.000555733	0.000492327	0.000488863	0.000572254	0.000597247	0.000559217	0.000579742	0.000620561	0.000575222	0.000673383	0.000708882	0.000665206	0.000722969	0.000879554	0.000832463	0.000831085	0.000525204
d2_11	0.00099753	0.00126412	0.00106644	0.000959962	0.000896544	0.000779438	0.000710137	0.000624289	0.000589733	0.000560663	0.000645457	0.000556163	0.000557795	0.000571679	0.000530932	0.000565719	0.000593886	0.000579496	0.000539389	0.000556426	0.000539519	0.000541166	0.00060812	0.000525137	0.000572535	0.000579934	0.00063279	0.000702034	0.000789945	0.000838604	0.00092538	0.00098011	0.000724532
d2_12	0.000597854	0.000858274	0.000855768	0.000788564	0.00069565	0.000592759	0.000604337	0.000592957	0.000504146	0.000534542	0.000467595	0.000503938	0.000530685	0.000493326	0.000470812	0.000457411	0.000510338	0.00056276	0.000496284	0.000499042	0.000535912	0.000502887	0.000484514	0.000556163	0.000613262	0.000633342	0.000647201	0.000726468	0.000755243	0.000954493	0.00107236	0.00120513	0.00100938
d2_13	0.000378923	0.000641776	0.0006907	0.000634169	0.000484823	0.00054141	0.000527142	0.000463378	0.000410197	0.000424634	0.000452598	0.000479353	0.000406903	0.000416721	0.000445144	0.00051051	0.000388249	0.000440997	0.00046474	0.000500194	0.000477751	0.000500178	0.000466477	0.000540459	0.000522951	0.000564539	0.000614515	0.000737142	0.000733631	0.000922669	0.00115608	0.00126897	0.00118127
d2_14	0.00024842	0.000418157	0.000511089	0.000461061	0.000420744	0.000420017	0.000405807	0.000370888	0.000415225	0.00039134	0.000337845	0.000373654	0.000389912	0.000365721	0.000403903	0.000408723	0.000436344	0.00037818	0.000397678	0.000411233	0.000418748	0.000420326	0.000474562	0.000501558	0.000488105	0.000552851	0.000618698	0.000664833	0.000825258	0.000960387	0.00111838	0.00150859	0.00148489
d2_15	0.000170611	0.00032677	0.000402817	0.000310018	0.000332299	0.000352005	0.000334749	0.000300513	0.000291299	0.000290416	0.00031508	0.000315755	0.000261956	0.000322262	0.000311393	0.000393418	0.000324609	0.000353975	0.000328329	0.000361386	0.00038741	0.000390741	0.000358512	0.000413565	0.000465001	0.000504072	0.000594387	0.000612798	0.000784166	0.000893797	0.00121943	0.00167248	0.00185071
d2_16	0.000125673	0.000226115	0.000271057	0.000310128	0.000256503	0.000262293	0.000260877	0.00030123	0.000223499	0.000304049	0.000229236	0.000239448	0.000228272	0.000278083	0.00027136	0.000254081	0.00030358	0.00033269	0.000312412	0.000347161	0.000359512	0.000335426	0.000365055	0.000405594	0.000420023	0.000476835	0.000429686	0.000538527	0.000693455	0.00103751	0.00130833	0.00177561	0.00226827
d2_17	7.05119e-05	0.000129418	0.000157555	0.000212042	0.000170123	0.000220054	0.000206342	0.000209548	0.000210349	0.000217042	0.000231561	0.000207825	0.000217223	0.000221573	0.000196607	0.000229754	0.000272601	0.000242364	0.000263648	0.000290229	0.000280397	0.000285506	0.00027289	0.000323292	0.000382707	0.000372718	0.00041936	0.000516224	0.000646078	0.000770173	0.00127703	0.00182849	0.00300705
d2_18	3.66898e-05	0.000108214	0.000153712	8.22358e-05	0.000141361	0.000130228	0.00019045	0.000137566	0.000157218	0.000192811	0.000164809	0.000153338	0.000165652	0.000243165	0.000181931	0.000238815	0.000198294	0.000209174	0.00021609	0.000249912	0.000300603	0.00027724	0.00028112	0.000287687	0.000310556	0.000369886	0.000393635	0.000469039	0.000588471	0.000744255	0.00115358	0.00203894	0.00372111
d2_19	1.48024e-05	5.49082e-05	9.48874e-05	0.000112431	8.02115e-05	9.56827e-05	0.000114793	8.99111e-05	0.000136638	0.000106527	9.09232e-05	0.000112853	0.000102816	0.000134951	0.000118504	0.000166833	0.000152073	0.000194667	0.000163122	0.000195848	0.000164725	0.00019298	0.00021997	0.000253708	0.000310219	0.000288879	0.000314942	0.000370187	0.000491222	0.000707481	0.00106932	0.0020365	0.00457501
d2_20	1.47603e-05	2.78336e-05	4.89197e-05	6.15714e-05	6.24148e-05	7.84403e-05	7.67534e-05	6.71381e-05	7.80185e-05	5.00162e-05	9.95264e-05	7.16927e-05	7.75968e-05	0.00010543	7.53195e-05	0.000118926	0.000104165	0.000132252	0.000106696	0.000114961	0.000151651	0.000141699	0.000153085	0.000208584	0.000175858	0.000227139	0.000240635	0.000261721	0.000404431	0.000524032	0.000858035	0.00177781	0.00595581
d2_21	0	2.53033e-05	1.5182e-05	3.24726e-05	2.65685e-05	2.99423e-05	3.20509e-05	3.54246e-05	4.93415e-05	5.56673e-05	5.90411e-05	3.75332e-05	5.90411e-05	4.0907e-05	5.81976e-05	0.000104587	4.72329e-05	6.57886e-05	9.95264e-05	7.1271e-05	7.29579e-05	0.000104587	7.33796e-05	0.000144651	0.000125251	0.000164725	0.000204113	0.000183871	0.000247129	0.000347499	0.000676864	0.00149163	0.00749779
d2_22	2.53033e-06	0	7.59099e-06	1.01213e-05	1.85558e-05	9.27788e-06	1.85558e-05	1.26517e-05	1.5182e-05	2.2773e-05	1.09648e-05	3.12074e-05	2.61468e-05	3.12074e-05	3.71115e-05	2.02427e-05	1.5182e-05	2.53033e-05	2.95205e-05	4.63894e-05	4.17505e-05	4.38591e-05	5.65107e-05	6.32583e-05	4.30156e-05	6.32583e-05	8.9405e-05	0.000119769	0.00015182	0.000170376	0.000370272	0.000948874	0.000827418
